"dt","k","v"
2013-09-24,"lg.visits",1892893
2013-09-25,"lg.visits",1867411
2013-09-26,"lg.visits",1881994
2013-09-27,"lg.visits",1937259
2013-09-28,"lg.visits",1836593
2013-09-29,"lg.visits",1893720
2013-09-30,"lg.visits",1915104
2013-10-01,"lg.visits",1808821
2013-10-02,"lg.visits",1790366
2013-10-03,"lg.visits",1793403
2013-10-04,"lg.visits",1937380
2013-10-05,"lg.visits",1721882
2013-10-06,"lg.visits",1942712
2013-10-07,"lg.visits",1996060
2013-10-08,"lg.visits",1839446
2013-10-09,"lg.visits",1812603
2013-10-10,"lg.visits",1828362
2013-10-11,"lg.visits",2112742
2013-10-12,"lg.visits",1785827
2013-10-13,"lg.visits",2112593
2013-10-14,"lg.visits",2264093
2013-10-15,"lg.visits",1976946
2013-10-16,"lg.visits",2007929
2013-10-17,"lg.visits",2068138
2013-10-18,"lg.visits",2076294
2013-10-19,"lg.visits",1860530
2013-10-20,"lg.visits",2105368
2013-10-21,"lg.visits",2052206
2013-10-22,"lg.visits",2220807
2013-10-23,"lg.visits",2075531
2013-10-24,"lg.visits",2172583
2013-10-25,"lg.visits",2242027
2013-10-26,"lg.visits",1978048
2013-10-27,"lg.visits",2111308
2013-10-28,"lg.visits",2139249
2013-10-29,"lg.visits",1979525
2013-10-30,"lg.visits",2185930
2013-10-31,"lg.visits",1924402
2013-11-01,"lg.visits",2846172
2013-11-02,"lg.visits",2403215
2013-11-03,"lg.visits",2603175
2013-11-04,"lg.visits",2515523
2013-11-05,"lg.visits",2599990
2013-11-06,"lg.visits",2428240
2013-11-07,"lg.visits",2373243
2013-11-08,"lg.visits",2540186
2013-11-09,"lg.visits",2367479
2013-11-10,"lg.visits",2753318
2013-11-11,"lg.visits",2809093
2013-11-12,"lg.visits",4079360
2013-11-13,"lg.visits",3424462
2013-11-14,"lg.visits",3370861
2013-11-15,"lg.visits",3252092
2013-11-16,"lg.visits",3152010
2013-11-17,"lg.visits",3432128
2013-11-18,"lg.visits",3504769
2013-11-19,"lg.visits",3451242
2013-11-20,"lg.visits",3332637
2013-11-21,"lg.visits",3509906
2013-11-22,"lg.visits",4351518
2013-11-23,"lg.visits",4038158
2013-11-24,"lg.visits",5242881
2013-11-25,"lg.visits",5690405
2013-11-26,"lg.visits",6005987
2013-11-27,"lg.visits",7259993
2013-11-28,"lg.visits",11622627
2013-11-29,"lg.visits",11894668
2013-11-30,"lg.visits",6830756
2013-12-01,"lg.visits",6972958
2013-12-02,"lg.visits",11400755
2013-12-03,"lg.visits",4879806
2013-12-04,"lg.visits",4002207
2013-12-05,"lg.visits",3845544
2013-12-06,"lg.visits",3889998
2013-12-07,"lg.visits",3804682
2013-12-08,"lg.visits",4082115
2013-12-09,"lg.visits",4425967
2013-12-10,"lg.visits",4068213
2013-12-11,"lg.visits",3665371
2013-12-12,"lg.visits",3649366
2013-12-13,"lg.visits",3673175
2013-12-14,"lg.visits",3689660
2013-12-15,"lg.visits",4071974
2013-12-16,"lg.visits",4680120
2013-12-17,"lg.visits",4049363
2013-12-18,"lg.visits",4015182
2013-12-19,"lg.visits",3874013
2013-12-20,"lg.visits",3734495
